Second,%CPU
533,95.1
534,95.2
535,95.1
536,95.1
537,95.1
538,95.2
539,95.2
540,95.1
541,95.1
542,95.2
543,95.2
544,95.3
545,95.1
546,95.2
547,95.2
548,95.3
549,95.3
550,95.2
551,95.2
552,95.3
553,95.3
554,95.2
555,95.2
556,95.3
557,95.3
558,95.3
559,95.2
560,95.3
561,95.3
562,95.3
563,95.4
564,95.3
565,95.3
566,95.4
567,95.4
568,95.4
569,95.3
570,95.4
571,95.4
572,95.4
573,95.3
574,95.4
575,95.4
576,95.4
577,95.5
578,95.4
579,95.4
580,95.4
581,95.5
582,95.5
583,95.4
584,95.4
585,95.5
586,95.5
587,95.5
588,95.4
589,95.5
590,95.5
591,95.5
592,95.6
593,95.5
594,95.5
595,95.5
596,95.6
597,95.6
598,95.5
599,95.5
600,95.6
601,95.6
602,95.6
603,95.5
604,95.6
605,95.6
606,95.6
607,95.7
608,95.6
609,95.6
610,95.6
611,95.7
612,95.7
613,95.6
614,95.6
615,95.7
616,95.7
617,95.7
618,95.7
619,95.7
620,95.7
621,95.7
622,95.8
623,95.7
624,95.7
625,95.7
626,95.8
627,95.8
628,95.7
629,95.7
630,95.8
631,95.8
632,95.7
633,95.7
634,95.8
635,95.8
636,95.8
637,95.7
638,95.8
639,95.8
640,95.8
641,95.9
642,95.8
643,95.8
644,95.8
645,95.9
646,95.9
647,95.8
648,95.8
649,95.9
650,95.9
651,95.9
652,95.9
653,95.8
654,95.9
655,95.9
656,95.9
657,96.0
658,95.9
659,95.9
660,95.9
661,96.0
662,96.0
663,95.9
664,95.9
665,96.0
666,96.0
667,96.0
668,95.9
669,96.0
670,96.0
671,96.0
672,96.0
673,96.0
674,96.0
675,96.0
676,96.0
677,96.0
678,96.0
679,96.0
680,96.1
681,96.1
682,96.0
683,96.0
684,96.0
685,96.1
686,96.1
687,96.0
688,96.0
689,96.1
690,96.1
691,96.1
692,96.0
693,96.1
694,96.1
695,96.1
696,96.0
697,96.1
698,96.1
699,96.1
700,96.2
701,96.1
702,96.1
703,96.1
704,96.2
705,96.2
706,96.1
707,96.1
708,96.2
709,96.2
710,96.2
711,96.1
712,96.2
713,96.2
714,96.2
715,96.2
716,96.2
717,96.2
718,96.2
719,96.2
720,96.2
721,96.2
722,96.2
723,96.2
724,96.3
725,96.2
726,96.2
727,96.2
728,96.3
729,96.3
730,96.2
731,96.2
732,96.3
733,96.3
734,96.3
735,96.2
736,96.3
737,96.3
738,96.3
739,96.3
740,96.2
741,96.3
742,96.3
743,96.3
744,96.3
745,96.3
746,96.3
747,96.3
748,96.3
749,96.4
750,96.3
751,96.3
752,96.3
753,96.4
754,96.4
755,96.3
756,96.3
757,96.4
758,96.4
759,96.4
760,96.3
761,96.4
762,96.4
763,96.4
764,96.4
765,96.4
766,96.4
767,96.4
768,96.4
769,96.5
770,96.4
771,96.4
772,96.4
773,96.5
774,96.4
775,96.4
776,96.4
777,96.5
778,96.5
779,96.4
780,96.4
781,96.5
782,96.5
783,96.5
784,96.4
785,96.5
786,96.5
787,96.5
788,96.5
789,96.5
790,96.5
791,96.5
792,96.5
793,96.4
794,96.5
795,96.5
796,96.5
797,96.5
798,96.6
799,96.5
800,96.5
801,96.5
802,96.6
803,96.6
804,96.5
805,96.5
806,96.5
807,96.6
808,96.6
809,96.5
810,96.5
811,96.6
812,96.6
813,96.6
814,96.5
815,96.6
816,96.6
817,96.6
818,96.6
819,96.6
820,96.6
821,96.6
822,96.6
823,96.7
824,96.6
825,96.6
826,96.6
827,96.6
828,96.6
829,96.6
830,96.6
831,96.6
832,96.7
833,96.7
834,96.6
835,96.6
836,96.7
837,96.7
838,96.7
839,96.6
840,96.7
841,96.7
842,96.7
843,96.7
